,log_dir,frame_per_second,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,crash_sidewalk_rate,crash_vehicle_rate,idle_rate,speed_km_h,max_step_rate,success_rate,episode_reward,episode_length
0,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo,320,-0.0015964633800113238,2.834010748832654,1544.568984535413,772.2828973623423,128.328369424282,-8.691126823425293,1.0004023162982403,40000,10,0,124.6993339061737,0.012233333333333334,0.0,0.0,0.7912990679259851,1.0,0.0,-1704.854862499237,3000.0
1,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo,340,-0.0007038175331380887,2.8300365281410707,5408.8977858323315,2704.4481909727438,742.3675579352257,-22.186168670654297,1.0000498333038428,80000,20,1,234.71215724945068,0.03626666666666667,0.0,0.0,0.7757652698865649,1.0,0.0,-2597.912706232071,3000.0
2,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo,344,-0.0010060402081133082,2.802407098733462,3608.693622999925,1804.3458052415115,567.4932037891485,-13.585118293762207,1.0000775695611268,120000,40,2,348.205682516098,0.014066666666666667,0.0,0.0,0.754536354019799,1.0,0.0,-3050.732423067093,3000.0
3,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo,351,-0.0024843589125129466,2.8067958992261155,7205.514199281351,3602.754615979317,943.0419061954204,-22.254093170166016,1.000362720932716,160000,50,3,455.398649930954,0.04243333333333334,0.0,0.0,0.7579231273510715,1.0,0.0,-3431.3564483261107,3000.0
4,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo,350,-0.0010872651031837823,2.779639715873278,1877.6086973532651,938.803263414823,358.4753574493604,1.1496580839157104,0.9997245035492457,200000,60,4,570.2048842906952,0.0112,0.0,0.0,0.7575141588676886,1.0,0.0,-3500.1239296277363,3000.0
5,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo,349,-0.0014193825343122276,2.773985926463054,3536.3471041165867,1768.1721327757225,641.5570316045712,-6.609723091125488,1.0005306185820164,240000,80,5,687.499529838562,0.0207,0.0,0.0,0.7218850432379472,1.0,0.0,-3211.636458945274,3000.0
6,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo,351,-0.001804504732046133,2.7850482647235575,1044.4674217664278,522.2319059909919,235.74952762799384,4.17498254776001,0.9998789149217117,280000,90,6,795.5718064308167,0.0075,0.0,0.0,0.73415924943056,1.0,0.0,-3016.6778172810873,3000.0
7,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo,354,-0.0003988617934131374,2.7956311065417068,195.8316075895077,97.91540496341693,107.69879353138117,8.677048683166504,0.9997623902864945,320000,100,7,903.4635365009308,0.002033333333333333,0.0,0.0,0.6774175726074932,1.0,0.0,-2727.015438079834,3000.0
8,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo,352,-0.00043725189723026675,2.7896458494357574,449.6705322265625,224.83482886338845,157.8846763635293,6.328221321105957,1.0000272722580494,360000,120,8,1019.9813024997711,0.0034666666666666665,0.0,0.0,0.6908245664311868,1.0,0.0,-2294.1672316360473,3000.0
9,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo,354,-0.0008778381182286793,2.77053648126431,440.2361327690956,220.11718784387295,131.54028526086074,4.46885871887207,0.9999509854194445,400000,130,9,1129.39315533638,0.0034,0.0,0.0,0.6437530032298114,1.0,0.0,-1850.4112591171265,3000.0
10,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo,355,-0.000614133556612218,2.7498338607641366,70.29335735440254,35.14606442741859,50.81968822433398,5.074482440948486,0.9999880741804074,440000,140,10,1237.3893358707428,0.0009666666666666667,0.0,0.0,0.6404171389557934,1.0,0.0,-1651.6852933311463,3000.0
11,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo,355,-0.00010674917542089064,2.7231351510072366,68.05451284769254,34.02714966153487,52.35502600073814,4.697684288024902,0.9995897938043643,480000,160,11,1351.6794872283936,0.00016666666666666666,0.0,0.0,0.6319596794388082,1.0,0.0,-787.2290491390228,3000.0
12,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo,356,-0.0005235662788319855,2.7093476943480663,344.69098007770685,172.3449670551679,109.09808928355193,2.419942617416382,0.999977538218865,520000,170,12,1458.0314574241638,0.0027,0.0,0.0,0.6257466767162024,1.0,0.0,-664.6136052131653,3000.0
